Date	BM_weight_avg	BM_weight_sd	C_per_m_avg	C_per_m_sd	 N_per_m_avg	N_per_m_sd
5/18/2012	152	27.21519184	65.5	11.18513437	nan	nan
6/4/2012	391.5	57.76677246	172.8	26.88278949	nan	nan
6/21/2012	797.25	106.7750751	348.8	46.80319577	nan	nan
7/13/2012	1531.25	237.457891	682.4	101.616686	nan	nan
8/17/2012	1420	70.48876979	633.3	31.43887244	nan	nan
8/17/2012	639.25	46.66458329	286.91796	19.00926975	nan	nan
9/21/2012	503	121.6223664	227.0	59.98572087	nan	nan
7/15/2013	221.25	55.36	98.06	24.78	4.03	0.92
7/30/2013	298.5	83.89	136.91	38.35	5.91	1.46
8/30/2013	462.125	141.64	238.40	62.89	10.26	2.10
